Product Name,Brand,Image URL,Image Description
"1 Kg Powder Fire Extinguisher ""ANAF""",Lidl,https://www.lidl.com.mt/assets/gcpd64fc1cdf06342fc96cb0b9ed0469480.png,"Retail product unit, professional studio product shot"
10 Panzerottini mozzarella cheese and ham,Lidl,https://www.lidl.com.mt/assets/gcp7dfc07e5bc954e1189facd57f70cc480.png,"Beverage packaging with visible branding, front view"
10 panzerottini mozzarella cheese and tomato,Lidl,https://imgproxy-retcat.assets.schwarz/xjuuPt_XvOl9AHIz2HN_FvTTKMnV8lB498Np31IhP5Q/sm:1/w:1278/h:959/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbXQvMS9BRDM1MjgzMUIzMUQyQ0NDOEVFNTYxRDE/3MzZCQkU3MUQ3MjE2RDMyNzE0N0VGODYyOEQyMkI0ODA1QjNERTMwLmpwZw.jpg,"Beverage packaging with visible branding, front view"
100% Peanut Butter,Lidl,https://www.lidl.com.mt/assets/gcp88ccb47573ae4fbc81958ca486a1e1fc.png,"Dairy product in sealed packaging, front view"
12 puff pastry with sausage,Lidl,https://imgproxy-retcat.assets.schwarz/Ii1ad6P2ogkff4hiDi7k-zNGquSqZU82V22Bsr1bgt8/sm:1/w:1278/h:959/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbXQvMS81MDQ3NzJBNUFBMTU2MTI2QUFCMzQ3M0E/5Q0MxOUYzOUJDQzAxRDZGODA4NDkzOUE1NjEwRjgxOTcwNjMzRTFGLmpwZw.jpg,"Beverage packaging with visible branding, front view"
12 puff pastry with spinach,Lidl,https://imgproxy-retcat.assets.schwarz/5wvQVqklfnkAPl1qELqi2NKO5BbIAT8FDDQ_SHHPgvg/sm:1/w:1278/h:959/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbXQvMS9DOUU1RThCRUZGOUJENUI1NEJBQUZGRjQ/2MzIwNEIzMTNDRDVDNjQ4MEJEQjA5NDUzOENCNUM2NTdBQjczMTlBLmpwZw.jpg,"Beverage packaging with visible branding, front view"
2-in-1 Pliers & Wrench,Lidl,https://www.lidl.com.mt/assets/gcp690621f049e44980bf6b43204b412d6a.png,"Retail product unit, professional studio product shot"
4 Party Donut,Lidl,https://www.lidl.com.mt/assets/gcp0da3da84ff324d53bd821697f5128975.png,"Beverage packaging with visible branding, front view"
4 Rainbow Donuts,Lidl,https://www.lidl.com.mt/assets/gcp7ddfb36545724ed982134f920f2a4eb3.png,"Beverage packaging with visible branding, front view"
4 Sugar donuts,Lidl,https://imgproxy-retcat.assets.schwarz/Y_gCJUf6ka5sls74Bs2yW8RLzxoMqMeimCDli8HxGwE/sm:1/w:1278/h:959/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbXQvMS84RUUyNjM2NkNDMjFDQzlCOEZBRDY1OEU/zMEYyNEJDNjEyOUJEN0Q3MDQ1MDNBMjkyMTQ2QUUyQzA4QjNBMzVBLmpwZw.jpg,"Beverage packaging with visible branding, front view"
