Product Name,Brand Name,Category,Price,Size,Image URL,Lidl URL,Description
10 panzerottini mozzarella cheese and tomato,3 Leaves / Alibaba,Spices & Seasonings,€1.99,Per Item,https://imgproxy-retcat.assets.schwarz/xjuuPt_XvOl9AHIz2HN_FvTTKMnV8lB498Np31IhP5Q/sm:1/w:1278/h:959/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbXQvMS9BRDM1MjgzMUIzMUQyQ0NDOEVFNTYxRDE/3MzZCQkU3MUQ3MjE2RDMyNzE0N0VGODYyOEQyMkI0ODA1QjNERTMwLmpwZw.jpg,https://www.lidl.com.mt/p/10-panzerottini-mozzarella-cheese-and-tomato/p10034915,"Ingredients: wheat flour, mozzarella cheese 23,5% ( milk , salt, lactic ferments (contain milk ), rennet, anti-caking agent: potato starch), tomato puree 16,8%, water, lard, sunflower oil, salt, potato flakes (potatoes, emulsifier: mono- and diglycerides of fatty acids), grated cheese ( milk , salt, rennet), brewer's yeast, emulsifier: mono- and diglycerides of fatty acids; sugar, semi-finished activator for bread and leavened products ( wheat flour, emulsifier: soy lecithins; dextrose, malted wheat flour, emulsifier: mono- and diglycerides of fatty acids), pregelatinized corn starch, origan, basil, pepper. May contain traces of: eggs, nuts, peanuts, sesame seeds, celery, mustard, lupins, sulphites."
12 puff pastry with sausage,MDH / Eastern,Spices & Seasonings,€1.99,Per Item,https://imgproxy-retcat.assets.schwarz/Ii1ad6P2ogkff4hiDi7k-zNGquSqZU82V22Bsr1bgt8/sm:1/w:1278/h:959/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbXQvMS81MDQ3NzJBNUFBMTU2MTI2QUFCMzQ3M0E/5Q0MxOUYzOUJDQzAxRDZGODA4NDkzOUE1NjEwRjgxOTcwNjMzRTFGLmpwZw.jpg,https://www.lidl.com.mt/p/12-puff-pastry-with-sausage/p10034921,"Ingredients: 65% puff pastry (soft wheat flour type 0, vegetable margarine (palm fat, sunflower seed oil, water, salt, emulsifier: mono- and diglycerides of fatty acids; lemon juice concentrate, natural flavouring), water, salt, barley malt extract, milk protein, milk skimmed powder, maize maltodextrin, anti-caking agent sodium carbonates), filling (39%* smoked frankfurter (pork, pork fat, water, potato starch, salt, potato vegetable fibre, sugar, spices (pepper, parsnip), antioxidant: rosemary extracts; spice extracts), water, cheese (milk, salt, milk enzymes, microbial rennet), mustard (water, mustard seeds, spirit vinegar, salt, spices, natural flavours), egg, potato flakes (dehydrated potatoes, emulsifier: mono- and diglycerides of fatty acids), salt. *Referred to the finished product. May contain traces of: peanuts, soy, nuts, celery, sesame seeds, sulphites, lupins."
4 Party Donut,Alibaba / Daawat,Spices & Seasonings,€1.99,Per Item,https://www.lidl.com.mt/assets/gcp0da3da84ff324d53bd821697f5128975.png,https://www.lidl.com.mt/p/4-party-donut/p66000005,"Ingredients: flour ( wheat ; rice); vegetable oils and fats (palm; rapeseed; coconut; shea); water; sugar; 1,8% yeast; dextrose; sweet whey powder ( milk ); skimmed milk powder; lactose ( milk ); soy flour; salt; starch; emulsifiers (mono-and diglycerides of fatty acids; sodium stearoyl-2-lactylate*; lecithins*); raising agents (diphosphates; sodium carbonates); natural flavour; glazing agents (shellac; gum arabic); colours (betanin; curcumin; paprika extract). *plant-based. May contain traces of: eggs , nuts ."
4 Rainbow Donuts,3 Leaves / Alibaba,Spices & Seasonings,€1.99,Per Item,https://www.lidl.com.mt/assets/gcpbe099c16186f4fa4823e4920eae9fa79.png,https://www.lidl.com.mt/p/4-rainbow-donuts/p66000138,"Pink Marshmallow Donut Leavened and fried bakery product with 18% pink glaze and with 6,7% decoration with pink and white marshmallows. Defrosted. Ingredients: wheat flour, vegetable fats (palm, palm kernel, coconut), water , sugar, glucose-fructose syrup, whey powder, sunflower oil, dextrose, yeast, lactose , soy flour, starch, raising agent: diphosphates, sodium carbonates; salt, emulsifier: lecithins, mono- and diglycerides of fatty acids, sodium stearoyl-2-lactylate; edible beef gelatin, colour: carotenes, betanin; skimmed milk powder, natural flavourings, flour treatment agent: ascorbic acid. May contain traces of nuts , other cereals containing gluten, egg and mustard . Purple White Donut Leavened and fried bakery product with 15% purple glaze and 7% decoration with white chocolate. Defrosted. Ingredients: wheat flour, vegetable fats (palm, palm kernel, coconut), water, sugar, whey powder, sunflower oil, dextrose, yeast, cocoa butter*, lactose , whole milk powder, soy flour, starch, raising agent: diphosphates, sodium carbonates; salt, emulsifier: lecithins (contain soy ), mono- and diglycerides of fatty acids, sodium stearoyl-2-lactylate; skimmed milk powder, beetroot concentrate, colour: carotenes, vegetable carbon; flour treatment agent: ascorbic acid; natural flavourings. *Rainforest Alliance Certified. Find out more at ra.org. May contain traces of nuts , other cereals containing gluten, egg and mustard. Red Cookies Donut Leavened and fried bakery product with 15% red glaze and 11% decoration with cocoa cookie pieces. Defrosted. Ingredients: wheat flour, vegetable fats (palm, palm kernel, coconut), water, 11% cocoa cookies [ wheat flour, sugar, palm oil, skimmed cocoa powder preparation (skimmed cocoa powder*, acidity regulator: sodium carbonates, potassium carbonates), glucose syrup, salt, raising agent: sodium carbonates; natural flavourings], sugar, whey powder, sunflower oil, dextrose, yeast, lactose , soy flour, starch, raising agent: diphosphates, sodium carbonates; salt, emulsifier: lecithins, mono- and diglycerides of fatty acids, sodium stearoyl-2-lactylate; beetroot concentrate, colour: carotenes, paprika extract; skimmed milk powder, flour treatment agent: ascorbic acid; natural flavourings. *Rainforest Alliance Certified. Find out more at ra.org. May contain traces of nuts , other cereals containing gluten, egg and mustard . Yellow Donut Leavened and fried bakery product with 16% yellow glaze and 5,3% decoration with yellow, green, red, pink, and orange sugar granules. Defrosted. Ingredients: wheat flour, vegetable fats (palm, palm kernel, coconut), water, sugar, whey powder, sunflower oil, dextrose, yeast, lactose , soy flour, starch, raising agent: diphosphates, sodium carbonates; salt, emulsifier: lecithins, mono- and diglycerides of fatty acids, sodium stearoyl-2-lactylate; glucose syrup, acidity regulator: citric acid; colour: carotenes, copper complexes of chlorophylls and chlorophyllins; natural flavourings, skimmed milk powder, flour treatment agent: ascorbic acid; elderberry extract, glazing agent: beeswax, white and yellow. May contain traces of nuts , other cereals containing gluten, egg and mustard . To consume within 24 hours after thawing Contains RSPO certified palm oil (SG), 4-0320-13-000-00"
6 mini pizzas,Alibaba / Italiamo,Spices & Seasonings,€1.99,Per Item,https://imgproxy-retcat.assets.schwarz/3K8DaiGsaY18Zn8I-7fWizF3LD6gay875dUciuBEr-w/sm:1/w:1278/h:959/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbXQvMS9BOTFDNjA4RTkwN0MyMkFEREIxOURCRjA/zNzlDRDE4QUQ5NzE2RDYzM0NDRjIwMThDMTZFRTMyNzNGMDA0RDZFLmpwZw.jpg,https://www.lidl.com.mt/p/6-mini-pizzas/p10044705,"Ingredients: wheat flour, water, 18% semi-concentrated tomato, 14% mozzarella ( milk , salt, lactic ferments, rennet, acidity regulator: citric acid), sunflower seed oil, potato flakes (dehydrated potatoes, emulsifier: mono- and diglycerides of fatty acids), yeast, salt, natural yeast powder of wheat flour, malted wheat flour, barley malt extract, extra virgin olive oil, sugar, skimmed milk powder, oregano. May contain traces of: eggs, peanuts, soy, nuts, celery, mustard, sesame seeds, sulphites, lupins."
9 Heart-shaped puff pastry pizza,3 Leaves / Alibaba,Spices & Seasonings,€1.99,Per Item,https://www.lidl.com.mt/assets/gcpde1a1f87a2154ad1a9816111283da39b.png,https://www.lidl.com.mt/p/9-heart-shaped-puff-pastry-pizza/p66000009,"Ingredients: Puff pastry (77%): wheat flour, vegetable margarine (palm fats, sunflower oil, water, salt, emulsifiers: mono- and diglycerides of fatty acids; concentrated lemon juice, natural flavours), water, salt, barley malt extract, skimmed milk powder, sugar. Filling: semi-concentrated tomato (20% on the finished product), mozzarella (3% on the finished product) ( milk , salt, microbial rennet, acidity regulator: citric acid), ricotta (whey milk , whey cream milk , salt), water, sugar, salt, sunflower oil, corn starch and vegetable fibers (bamboo and psyllium), onion powder, spices, aromatic plants, vegetable protein extract (corn, sunflower), garlic powder, corn starch. May contain traces of: soy, eggs, nuts, peanuts, sesame seeds, sulphites, lupins, celery, mustard ."
Apple Puff Pastry,Lidl Quality Selection,Spices & Seasonings,€1.99,Per Item,https://www.lidl.com.mt/assets/gcp5da4fafa5191435da87d5e1a7dc798aa.png,https://www.lidl.com.mt/p/apple-puff-pastry/p66000074,"Ingredients: wheat flour, 28% apple, vegetable oils and fats (palm, rapeseed), water, sugar, modified starch, cinnamon, salt, acidity regulator: citric acid; emulsifier: mono- and diglycerides of fatty acids; pea protein, natural apple flavouring, flour treatment agent: ascorbic acid. May contain traces of: eggs, peanuts, soy, milk, nuts, celery, mustard, sesame seeds, sulphites, lupins."
Apple puff pastry,Lidl Quality Selection,Spices & Seasonings,€1.99,Per Item,https://imgproxy-retcat.assets.schwarz/TOEbJzIvlxzT0V4D3u1WJLREug7K5Sv-kzWufzRYaow/sm:1/w:1278/h:959/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbXQvMS80MEIxQkFDNUI3QTU0MEJCMEFENjA3NkN/CQjM0RDI4NTNDM0E4NDYxQTBCNjFEODEyMUVBRTZDNEUzRTY2NzYwLmpwZw.jpg,https://www.lidl.com.mt/p/apple-puff-pastry/p10034895,"Ingredients: wheat flour, 28% apple, vegetable oils and fats (palm, rapeseed), water, sugar, modified starch, cinnamon, salt, acidity regulator: citric acid; emulsifier: mono- and diglycerides of fatty acids; pea protein, natural apple flavouring, flour treatment agent: ascorbic acid. May contain traces of: eggs, peanuts, soy, milk, nuts, celery, mustard, sesame seeds, sulphites, lupins."
Börek,3 Leaves / Alibaba,Spices & Seasonings,€1.99,Per Item,https://www.lidl.com.mt/assets/gcp50f281944a9f40cb9886c592b1ec3ecb.png,https://www.lidl.com.mt/p/borek/p66000196,"Ingredients : 65% Dough: wheat flour, water, vegetable oils (palm oil, cottonseed oil and sunflower oil in varying proportions), maize starch, salt, sugar. 35% Filling: 48%* spinach, 17%* Mizithra cheese (whey from cow milk , sheep and goat [milk], salt), onion, leek, wheat semolina, 4,5%* feta cheese P.D.O. (sheep and goat milk , salt, microbial rennet, lactic acid bacteria), modified potato starch, salt, dill, black pepper. *The percentages refer to the filling. May contain traces of: soy, eggs, nuts, peanuts, sesame seeds, sulphites, lupins, celery, mustard ."
Chocolate Brioche Croissant,Bono / 7 Days,Spices & Seasonings,€1.99,Per Item,https://www.lidl.com.mt/assets/gcpfaa3556b751a46ea98503e7aabea6e83.png,https://www.lidl.com.mt/p/chocolate-brioche-croissant/p66000070,"Ingredients: wheat flour, 18% cocoa cream filling (sugar, vegetable oils (rapeseed, palm), 2,1%* fat-reduced cocoa powder**, 0,4%* hazelnut paste, emulsifier: E 322; palm fat, natural flavouring), water, sugar, margarine (palm fat, vegetable oil (sunflower, rapeseed in varying proportions), water, salt, emulsifier: E 471; acid: E 330; preservative: E 200; antioxidants: E 304, E 306; flavouring, colour: E 160a), yeast, vegetable oils (sunflower, rapeseed), vegetable fats (palm kernel, palm), salt, emulsifiers: E 322, E 471, E 472e, E 476, E 481, E492; whey powder, glucose-fructose syrup, wheat starch, dextrose, wheat gluten, 0,2% fat reduced cocoa powder**, flour treatment agent: E 300; turmeric, natural flavouring, colour: E161b; flavourings (contain milk ), pea proteins, gelling agent: E 440; preservative: E 202; acidity regulator: E 330; maltodextrin, concentrated apple juice. *related to the final product. **Rainforest Alliance Certified. Find out more at ra.org. May contain traces of: egg, peanuts, soy , other nuts, celery, mustard, sesame seeds, sulphites, lupins."
